"usageDate","service","usageType","region","linkedAccount","team","environment","deployId","usageAmount","unblendedCost","lineItemType"
"Aug 25","Amazon Bedrock","USE1-InputTokens","us-east-1","4812","AI Platform","prod","","82000","82","Usage"
"Aug 25","Amazon ECS","USE1-Fargate-vCPU-Hours","us-east-1","4812","Core Platform","prod","","16400","164","Usage"
"Aug 25","Amazon CloudWatch","USE1-DataProcessing-Bytes","us-east-1","4812","AI Platform","prod","","0","0","Usage"
"Aug 25","Amazon S3","USE1-TimedStorage-ByteHrs","us-west-2","4812","Data Platform","prod","","27400","274","Usage"
"Aug 26","Amazon Bedrock","USE1-InputTokens","us-east-1","4812","AI Platform","prod","","91000","91","Usage"
"Aug 26","Amazon ECS","USE1-Fargate-vCPU-Hours","us-east-1","4812","Core Platform","prod","","17100","171","Usage"
"Aug 26","Amazon CloudWatch","USE1-DataProcessing-Bytes","us-east-1","4812","AI Platform","prod","","0","0","Usage"
"Aug 26","Amazon S3","USE1-TimedStorage-ByteHrs","us-west-2","4812","Data Platform","prod","","28600","286","Usage"
"Aug 27","Amazon Bedrock","USE1-InputTokens","us-east-1","4812","AI Platform","prod","","88000","88","Usage"
"Aug 27","Amazon ECS","USE1-Fargate-vCPU-Hours","us-east-1","4812","Core Platform","prod","","16700","167","Usage"
"Aug 27","Amazon CloudWatch","USE1-DataProcessing-Bytes","us-east-1","4812","AI Platform","prod","","0","0","Usage"
"Aug 27","Amazon S3","USE1-TimedStorage-ByteHrs","us-west-2","4812","Data Platform","prod","","27900","279","Usage"
"Aug 28","Amazon Bedrock","USE1-InputTokens","us-east-1","4812","AI Platform","prod","","93000","93","Usage"
"Aug 28","Amazon ECS","USE1-Fargate-vCPU-Hours","us-east-1","4812","Core Platform","prod","","17600","176","Usage"
"Aug 28","Amazon CloudWatch","USE1-DataProcessing-Bytes","us-east-1","4812","AI Platform","prod","","0","0","Usage"
"Aug 28","Amazon S3","USE1-TimedStorage-ByteHrs","us-west-2","4812","Data Platform","prod","","29300","293","Usage"
"Aug 29","Amazon Bedrock","USE1-InputTokens","us-east-1","4812","AI Platform","prod","","106000","106","Usage"
"Aug 29","Amazon ECS","USE1-Fargate-vCPU-Hours","us-east-1","4812","Core Platform","prod","","18200","182","Usage"
"Aug 29","Amazon CloudWatch","USE1-DataProcessing-Bytes","us-east-1","4812","AI Platform","prod","","0","0","Usage"
"Aug 29","Amazon S3","USE1-TimedStorage-ByteHrs","us-west-2","4812","Data Platform","prod","","30200","302","Usage"
"Aug 30","Amazon Bedrock","USE1-InputTokens","us-east-1","4812","AI Platform","prod","","112000","112","Usage"
"Aug 30","Amazon ECS","USE1-Fargate-vCPU-Hours","us-east-1","4812","Core Platform","prod","","19500","195","Usage"
"Aug 30","Amazon CloudWatch","USE1-DataProcessing-Bytes","us-east-1","4812","AI Platform","prod","","0","0","Usage"
"Aug 30","Amazon S3","USE1-TimedStorage-ByteHrs","us-west-2","4812","Data Platform","prod","","30700","307","Usage"
"Aug 31","Amazon Bedrock","USE1-InputTokens","us-east-1","4812","AI Platform","prod","","108000","108","Usage"
"Aug 31","Amazon ECS","USE1-Fargate-vCPU-Hours","us-east-1","4812","Core Platform","prod","","18800","188","Usage"
"Aug 31","Amazon CloudWatch","USE1-DataProcessing-Bytes","us-east-1","4812","AI Platform","prod","","0","0","Usage"
"Aug 31","Amazon S3","USE1-TimedStorage-ByteHrs","us-west-2","4812","Data Platform","prod","","29200","292","Usage"
"Sep 01","Amazon Bedrock","USE1-InputTokens","us-east-1","4812","AI Platform","prod","agent-loop-v3","402000","402","Usage"
"Sep 01","Amazon ECS","USE1-Fargate-vCPU-Hours","us-east-1","4812","Core Platform","prod","ecs-floor-10","36800","368","Usage"
"Sep 01","Amazon CloudWatch","USE1-DataProcessing-Bytes","us-east-1","4812","AI Platform","prod","trace-verbose","0","0","Usage"
"Sep 01","Amazon S3","USE1-TimedStorage-ByteHrs","us-west-2","4812","Data Platform","prod","","37000","370","Usage"
"Sep 02","Amazon Bedrock","USE1-InputTokens","us-east-1","4812","AI Platform","prod","agent-loop-v3","976000","976","Usage"
"Sep 02","Amazon ECS","USE1-Fargate-vCPU-Hours","us-east-1","4812","Core Platform","prod","ecs-floor-10","72200","722","Usage"
"Sep 02","Amazon CloudWatch","USE1-DataProcessing-Bytes","us-east-1","4812","AI Platform","prod","trace-verbose","0","0","Usage"
"Sep 02","Amazon S3","USE1-TimedStorage-ByteHrs","us-west-2","4812","Data Platform","prod","","54200","542","Usage"
"Sep 03","Amazon Bedrock","USE1-InputTokens","us-east-1","4812","AI Platform","prod","agent-loop-v3","1486000","1486","Usage"
"Sep 03","Amazon ECS","USE1-Fargate-vCPU-Hours","us-east-1","4812","Core Platform","prod","ecs-floor-10","103500","1035","Usage"
"Sep 03","Amazon CloudWatch","USE1-DataProcessing-Bytes","us-east-1","4812","AI Platform","prod","trace-verbose","21800","218","Usage"
"Sep 03","Amazon S3","USE1-TimedStorage-ByteHrs","us-west-2","4812","Data Platform","prod","","44700","447","Usage"
"Sep 04","Amazon Bedrock","USE1-InputTokens","us-east-1","4812","AI Platform","prod","agent-loop-v3","1392000","1392","Usage"
"Sep 04","Amazon ECS","USE1-Fargate-vCPU-Hours","us-east-1","4812","Core Platform","prod","ecs-floor-10","98400","984","Usage"
"Sep 04","Amazon CloudWatch","USE1-DataProcessing-Bytes","us-east-1","4812","AI Platform","prod","trace-verbose","18400","184","Usage"
